"REPORT_ID","MONTH_DW","LAST_MONTHS","AMOUNT"
"142853","--            ","",""
"144510","2014.02       ","1","19.00"
"144510","--            ","",""
"144510","2014.06       ","1","13.00"
"144510","--            ","",""
"147496","2014.11       ","1","477.00"
"147496","--            ","",""
"147496","2014.11       ","1","5527.00"
"147496","--            ","",""
"151640","2013.05       ","1","2786.00"
"151640","2012.09       ","2","15016.00"
"151640","2012.08       ","1","6354.00"
"151640","2012.07       ","1","3479.00"
"160363","2014.11       ","1","826.00"
"160363","--            ","",""
"159514","2016.06       ","7","23291.00"
"159514","2016.05       ","7","23001.00"
"159514","2016.04       ","7","23202.00"
"159514","2016.03       ","7","22926.00"
"159514","2016.02       ","6","22633.00"
"159514","2016.01       ","5","22799.00"
"159514","2015.12       ","4","24251.00"
"159514","2015.11       ","3","15455.00"
"159514","2015.10       ","2","9104.00"
"159514","2015.09       ","1","3782.00"
"159514","2015.08       ","1","199.00"
"159514","2015.07       ","1","743.00"
"159514","2015.06       ","1","4185.00"
"159514","2015.05       ","2","5947.00"
"159514","2015.04       ","1","1483.00"
"159514","2015.03       ","1","2011.00"
"159514","2015.01       ","2","6731.00"
"159514","2014.12       ","1","2758.00"
"159514","2014.11       ","1","296.00"
"159514","--            ","",""
"159514","2014.10       ","1","68.00"
"159514","--            ","",""
"165576","2014.07       ","1","54.00"
"165576","--            ","",""
"167428","2013.08       ","1","1106.00"
"167428","--            ","",""
"174368","2014.02       ","1","357.00"
"174368","--            ","",""
"181200","2013.12       ","1","29.00"
"181200","2013.09       ","1","2360.00"
"181200","2014.05       ","1","1796.00"
"181200","--            ","",""
"181200","2013.08       ","1","318.00"
"181200","2012.08       ","1","253.00"
"181200","2012.06       ","1","55.00"
"181200","2012.04       ","1","113.00"
"181200","2012.03       ","1","377.00"
"181200","--            ","",""
"181200","2013.05       ","2","1119.00"
"181200","2013.04       ","1","496.00"
"182616","2014.11       ","1","14156.00"
"182242","2013.11       ","2","1337.00"
"182242","2013.10       ","1","929.00"
"182242","2013.09       ","1","1220.00"
"182242","2013.08       ","1","1039.00"
"182242","2013.03       ","1","335.00"
"182242","2013.01       ","1","246.00"
"182242","2012.10       ","1","108.00"
"182242","--            ","",""
"182616","--            ","",""
"184536","2013.03       ","1","17.00"
"184536","--            ","",""
"183728","2013.05       ","1","70.00"
"183728","--            ","",""
"183728","2012.09       ","1","2.00"
"183728","--            ","",""
"184329","2014.04       ","1","1993.00"
"184329","--            ","",""
"184329","2014.09       ","1","164.00"
"184329","2014.04       ","1","273.00"
"184329","2013.04       ","1","2567.00"
"184329","--            ","",""
"184385","2013.11       ","1","4338.00"
"184385","--            ","",""
"184410","2013.07       ","1","287.00"
"184410","2012.10       ","1","153.00"
"185780","2014.01       ","1","1944.00"
"185780","2013.08       ","1","1944.00"
"190603","2012.05       ","2","2608.00"
"190603","2012.04       ","4","4866.00"
"190603","2012.03       ","4","2043.00"
"190603","2012.02       ","3","1516.00"
"190603","2012.01       ","2","1001.00"
"190603","--            ","",""
"190603","2012.04       ","3","9207.00"
"190603","2012.03       ","2","5372.00"
"190603","2012.02       ","1","2253.00"
"190603","--            ","",""
"192728","2012.07       ","1","1440.00"
"192728","--            ","",""
"192728","2012.05       ","1","981.00"
"192728","--            ","",""
"193398","2014.05       ","1","385.00"
"193398","2014.04       ","1","939.00"
"193398","2012.12       ","1","631.00"
"193398","2012.02       ","1","967.00"
"193398","2014.10       ","1","118.00"
"193398","2014.01       ","1","155.00"
"193398","2013.09       ","1","173.00"
"193398","2013.07       ","1","57.00"
"193398","2013.05       ","1","104.00"
"193398","2012.10       ","1","203.00"
"193398","2012.08       ","1","198.00"
"193398","2012.06       ","1","95.00"
"193398","2014.12       ","1","476.00"
"193398","2014.10       ","1","2966.00"
"193398","2014.08       ","1","463.00"
"193398","2013.12       ","1","698.00"
"193398","2013.11       ","1","540.00"
"193398","2013.09       ","1","312.00"
"193398","2013.08       ","1","271.00"
"193398","2013.06       ","1","361.00"
"193398","2013.02       ","1","128.00"
"193398","2012.12       ","1","451.00"
"193398","2012.10       ","1","474.00"
"193398","2012.07       ","1","19.00"
"193398","2012.06       ","1","369.00"
"193398","2012.02       ","1","360.00"
"193398","2012.01       ","1","386.00"
"193398","--            ","",""
"193398","2014.12       ","1","190.00"
"193398","2014.01       ","1","99.00"
"193623","2014.08       ","1","72.00"
"193623","--            ","",""
"195391","2013.10       ","4","31.00"
"195391","2013.09       ","3","25.00"
"195391","2013.08       ","2","19.00"
"195391","2013.07       ","1","12.00"
"195391","2013.09       ","1","377.00"
"195391","2013.05       ","1","771.00"
"195391","2013.10       ","1","256.00"
"195391","2013.07       ","1","127.00"
"195391","2012.03       ","1","25.00"
"195391","--            ","",""
"196445","2013.09       ","1","1391.00"
"196445","2013.08       ","1","1369.00"
"196445","2013.07       ","1","1349.00"
"196445","2013.06       ","1","1329.00"
"196445","2013.05       ","1","1303.00"
"196445","2013.04       ","1","1775.00"
"196445","2013.03       ","1","1727.00"
"196445","2013.02       ","1","4163.00"
"196445","2013.01       ","1","4099.00"
"196445","2012.12       ","1","4039.00"
"196445","2012.11       ","1","3977.00"
"196445","2012.10       ","1","3914.00"
"196445","2012.09       ","1","4342.00"
"196445","2012.07       ","1","4697.00"
"196445","2012.06       ","1","4626.00"
"196445","2012.05       ","1","4261.00"
"196445","2012.04       ","1","3805.00"
"196445","2012.03       ","1","3356.00"
"196445","2012.02       ","7","7417.00"
"196445","2012.01       ","7","6492.00"
"196445","2015.11       ","7","1126.00"
"196445","2015.10       ","7","1126.00"
"196445","2015.09       ","7","1126.00"
"196445","2015.08       ","7","1126.00"
"196445","2015.07       ","7","1126.00"
"196445","2015.06       ","7","1126.00"
"196445","2015.05       ","7","1126.00"
"196445","2015.04       ","7","1126.00"
"196445","2015.03       ","7","1126.00"
"196445","2015.02       ","7","1126.00"
"196445","2015.01       ","7","1126.00"
"196445","2014.12       ","7","1126.00"
"196445","2014.11       ","7","1126.00"
"196445","2014.10       ","7","1126.00"
"196445","2014.09       ","7","1126.00"
"196445","2014.08       ","7","1126.00"
"196445","2014.07       ","7","1126.00"
"196445","2014.06       ","7","1126.00"
"196445","2014.05       ","7","1126.00"
"196445","2014.04       ","7","1126.00"
"196445","2014.03       ","7","1126.00"
"196445","2014.02       ","7","1126.00"
"196445","2014.01       ","7","1126.00"
"196445","2013.12       ","7","1126.00"
"196445","2013.11       ","7","1626.00"
"196445","2013.10       ","7","1626.00"
"196445","2013.09       ","7","1626.00"
"196445","2013.08       ","7","1626.00"
"196445","2013.07       ","7","1626.00"
"196445","2013.06       ","7","1541.00"
"196445","2013.05       ","7","1418.00"
"196445","2013.04       ","7","1300.00"
"196445","2013.03       ","7","1236.00"
"196445","2013.02       ","7","1120.00"
"196445","2013.01       ","7","1005.00"
"196445","2012.12       ","7","894.00"
"196445","2012.11       ","7","788.00"
"196445","2012.10       ","7","684.00"
"196445","2012.09       ","6","588.00"
"196445","2012.08       ","5","496.00"
"196445","2012.07       ","4","406.00"
"196445","2012.06       ","3","321.00"
"196445","2012.05       ","5","428.00"
"196445","2012.04       ","4","338.00"
"196445","2012.03       ","3","248.00"
"196445","2012.02       ","2","165.00"
"196445","2012.01       ","1","96.00"
"196445","--            ","",""
"196445","2014.06       ","7","2084.00"
"196445","2014.05       ","7","2049.00"
"196445","2014.04       ","7","2012.00"
"196445","2014.03       ","7","1978.00"
"196445","2014.02       ","7","1941.00"
"196445","2014.01       ","7","1904.00"
"196445","2013.12       ","7","1868.00"
"196445","2013.11       ","7","1830.00"
"196445","2013.10       ","7","1793.00"
"196445","2013.09       ","7","1755.00"
"196445","2013.08       ","7","1716.00"
"196445","2013.07       ","7","1677.00"
"196445","2013.06       ","7","1358.00"
"196445","2013.05       ","7","1797.00"
"196445","2013.04       ","7","1733.00"
"196445","2013.03       ","7","1671.00"
"196445","2013.02       ","7","1604.00"
"196445","2013.01       ","6","1536.00"
"196445","2012.12       ","5","1126.00"
"196445","2012.11       ","6","1099.00"
"196445","2012.10       ","7","1477.00"
"196445","2012.09       ","6","1152.00"
"196445","2012.08       ","7","1502.00"
"196445","2012.07       ","7","1841.00"
"196445","2012.06       ","7","2167.00"
"196445","2012.05       ","7","2187.00"
"196445","2012.04       ","7","1905.00"
"196445","2012.03       ","6","1616.00"
"196445","2012.02       ","6","1629.00"
"196445","2012.01       ","6","1633.00"
"196445","2012.01       ","7","282.00"
"196445","--            ","",""
"195721","2014.12       ","2","90.00"
"195721","2014.11       ","1","28.00"
"195721","2014.10       ","2","149.00"
"195721","2014.09       ","1","73.00"
"195721","2014.06       ","1","16.00"
"195721","2014.05       ","2","273.00"
"195721","2014.04       ","1","134.00"
"195721","2014.02       ","1","200.00"
"195721","2014.01       ","2","395.00"
"195721","2013.12       ","1","195.00"
"195721","2013.10       ","3","677.00"
"195721","2013.09       ","2","393.00"
"195721","2013.08       ","3","565.00"
"195721","2013.07       ","2","308.00"
"195721","2013.06       ","1","120.00"
"195721","2013.04       ","1","50.00"
"195721","2013.02       ","3","4268.00"
"195721","2013.01       ","2","2749.00"
"195721","2012.12       ","1","1329.00"
"195721","2012.10       ","1","29.00"
"195721","2012.08       ","1","1094.00"
"195721","2012.06       ","2","1473.00"
"195721","2012.05       ","1","518.00"
"195721","2012.02       ","1","132.00"
"195721","2012.07       ","5","4217.00"
"195721","2012.06       ","4","3550.00"
"195721","2012.05       ","3","2889.00"
"195721","2012.04       ","2","358.00"
"195721","2012.03       ","1","2740.00"
"195721","--            ","",""
"198671","2014.10       ","1","12.00"
"198671","2014.04       ","1","242.00"
"198773","2014.07       ","1","486.00"
"198773","2014.05       ","1","526.00"
"198773","2014.01       ","1","459.00"
"198773","2013.10       ","1","100.00"
"198773","2013.05       ","1","557.00"
"198773","2013.03       ","1","547.00"
"198773","2013.01       ","1","585.00"
"198773","2012.11       ","1","574.00"
"198773","2012.09       ","1","30.00"
"198773","2012.06       ","1","526.00"
"198773","2012.01       ","1","571.00"
"198773","--            ","",""
"198773","2013.03       ","1","2279.00"
"198773","2012.11       ","1","2529.00"
"198773","2012.02       ","1","3299.00"
"198773","--            ","",""
"198773","2014.07       ","2","437.00"
"198773","2014.06       ","1","350.00"
"198773","2014.11       ","1","158.00"
"198773","2014.06       ","1","200.00"
"198773","2014.07       ","1","139.00"
"198773","2014.05       ","1","100.00"
"198428","2013.05       ","1","498.00"
"198428","--            ","",""
"199903","2014.04       ","1","54.00"
"199903","--            ","",""
"199903","2014.05       ","1","79.00"
"199903","2014.04       ","1","155.00"
"199903","2012.02       ","1","352.00"
"199903","--            ","",""
"199903","2014.11       ","1","59.00"
"199903","--            ","",""
"200751","2014.12       ","3","10217.00"
"200751","2014.11       ","2","7527.00"
"200751","2014.10       ","1","4572.00"
"200751","2014.08       ","1","5499.00"
"200751","2014.06       ","1","6609.00"
"200751","2014.02       ","1","9535.00"
"200751","2013.05       ","1","19650.00"
"200751","--            ","",""
"200751","2014.12       ","1","708.00"
"200751","--            ","",""
"200751","2013.05       ","1","27123.00"
"200751","--            ","",""
"200751","2014.12       ","1","4416.00"
"200751","--            ","",""
"200751","2013.05       ","1","19619.00"
"200751","--            ","",""
"199361","2014.11       ","1","2783.00"
"199361","2014.09       ","1","4455.00"
"199361","2014.07       ","1","231.00"
"199361","2014.05       ","1","2774.00"
"199361","2014.03       ","1","821.00"
"199361","2014.01       ","1","2525.00"
"199361","2013.11       ","1","2490.00"
"199361","2013.09       ","1","536.00"
"199361","2013.07       ","1","1319.00"
"199361","2013.06       ","1","1473.00"
"199361","2013.04       ","1","1620.00"
"199361","2013.01       ","1","113.00"
"199361","2012.11       ","2","445.00"
"199361","2012.10       ","1","104.00"
"199361","2012.08       ","1","177.00"
"199361","2012.06       ","1","560.00"
"199361","2012.03       ","1","26.00"
"199361","--            ","",""
"199361","2014.11       ","1","1453.00"
"199361","2014.10       ","1","1293.00"
"199361","2014.08       ","1","1135.00"
"199361","2014.06       ","1","723.00"
"199361","2014.01       ","1","828.00"
"199361","2013.10       ","2","461.00"
"199361","2013.09       ","1","140.00"
"199361","2013.07       ","2","2550.00"
"199361","2013.06       ","1","1243.00"
"199361","2013.03       ","2","2612.00"
"199361","2013.02       ","1","1171.00"
"199361","2012.11       ","1","285.00"
"199361","2012.06       ","1","1974.00"
"199361","--            ","",""
"199361","2014.10       ","2","2739.00"
"199361","2014.09       ","1","1283.00"
"199361","2014.07       ","1","1235.00"
"199361","2014.04       ","1","1123.00"
"199361","2014.02       ","1","1046.00"
"199361","2013.12       ","1","906.00"
"199361","2013.10       ","1","788.00"
"199361","2013.08       ","1","611.00"
"199361","2013.06       ","1","396.00"
"199361","2013.04       ","1","142.00"
"199361","2014.10       ","1","6711.00"
"199361","2014.09       ","1","6695.00"
"199361","2014.08       ","1","10119.00"
"199361","2014.05       ","1","2930.00"
"199361","2014.04       ","1","7378.00"
"199361","2013.12       ","1","6962.00"
"199361","2013.07       ","1","15505.00"
"199361","2013.06       ","1","1868.00"
"199361","2012.04       ","1","909.00"
"199361","2012.02       ","1","1109.00"
"199361","2012.02       ","1","1822.00"
"199361","--            ","",""
"205151","2014.06       ","1","192.00"
"205151","--            ","",""
"205151","2014.05       ","1","659.00"
"205151","--            ","",""
"205151","2016.08       ","3","42566.00"
"205151","2016.07       ","2","39972.00"
"205151","2016.06       ","1","22500.00"
"205151","2016.04       ","1","9999.00"
"205151","2014.08       ","1","1087.00"
"205151","--            ","",""
"202295","2013.07       ","1","1892.00"
"202295","2013.06       ","2","3051.00"
"202295","2013.05       ","1","1477.00"
"202295","2013.04       ","1","817.00"
"202295","2013.03       ","1","2378.00"
"202295","2013.02       ","2","3647.00"
"202295","2013.01       ","1","2131.00"
"202295","--            ","",""
"202295","2013.09       ","2","1213.00"
"202295","2013.08       ","1","947.00"
"202295","2013.07       ","2","3195.00"
"202295","2013.06       ","1","1264.00"
"202295","2013.05       ","1","865.00"
"202295","2013.01       ","1","21.00"
"202295","2013.04       ","1","321.00"
"202295","2013.02       ","1","248.00"
"202295","2013.01       ","1","372.00"
"202295","2012.06       ","2","627.00"
"202295","2012.05       ","1","285.00"
"202295","--            ","",""
"203831","2014.05       ","1","684.00"
"203831","2014.04       ","1","563.00"
"202809","2014.09       ","1","1533.00"
"202809","2014.07       ","1","1300.00"
"202809","2014.05       ","1","1034.00"
"202809","2014.03       ","1","1321.00"
"202809","2014.01       ","1","1041.00"
"202809","2013.11       ","1","1090.00"
"202809","2013.09       ","1","1120.00"
"202809","2013.07       ","1","1038.00"
"202809","2013.04       ","2","2019.00"
"202809","2013.03       ","1","779.00"
"202809","2013.01       ","1","995.00"
"202809","--            ","",""
"202809","2014.11       ","1","1779.00"
"202809","2014.09       ","1","5411.00"
"202809","2014.06       ","1","2729.00"
"202809","2014.04       ","1","952.00"
"202809","2014.02       ","1","1364.00"
"202809","--            ","",""
"204913","2014.02       ","1","598.00"
"204913","2013.06       ","1","500.00"
"204913","2014.03       ","1","346.00"
"204913","2014.02       ","1","467.00"
"204958","2013.07       ","1","762.00"
"204958","--            ","",""
"204958","2013.07       ","1","184.00"
"204958","--            ","",""
"204958","2014.08       ","1","349.00"
"204958","2013.09       ","1","239.00"
"227875","2012.05       ","1","377.00"
"227875","--            ","",""
"229143","2013.08       ","1","200.00"
"229143","--            ","",""
"225831","2014.11       ","6","796.00"
"225831","2014.10       ","5","1966.00"
"225831","2014.09       ","4","1103.00"
"225831","2014.08       ","3","1001.00"
"225831","2014.07       ","2","2218.00"
"225831","2014.06       ","1","1126.00"
"225831","2014.04       ","1","868.00"
"225831","2013.11       ","3","1680.00"
"225831","2013.10       ","2","1798.00"
"225831","2013.09       ","1","913.00"
"225831","2014.10       ","1","158.00"
"225831","2014.09       ","1","199.00"
"225831","2014.08       ","1","254.00"
"225831","2014.07       ","1","241.00"
"225831","2014.02       ","1","189.00"
"225831","2013.10       ","1","223.00"
"225831","2012.08       ","1","16.00"
"225831","--            ","",""
"223309","2014.12       ","2","401.00"
"223309","2014.11       ","1","196.00"
"223309","2014.09       ","1","43.00"
"223309","2014.04       ","3","621.00"
"223309","2014.03       ","2","409.00"
"223309","2014.02       ","1","202.00"
"223309","2013.12       ","1","101.00"
"223309","2013.10       ","1","3.00"
"223309","2013.07       ","1","198.00"
"223309","2013.05       ","1","94.00"
"223309","2014.12       ","3","3431.00"
"223309","2014.11       ","2","2198.00"
"223309","2014.10       ","1","1057.00"
"223309","2014.07       ","1","1079.00"
"223309","2014.05       ","1","1080.00"
"223309","2014.02       ","1","2.00"
"223309","2014.01       ","2","2091.00"
"223309","2013.12       ","1","1007.00"
"227478","2014.09       ","1","1395.00"
"227478","--            ","",""
"227478","2014.07       ","1","357.00"
"227478","--            ","",""
"230005","2014.05       ","1","14.00"
"230005","--            ","",""
"225913","2014.06       ","3","175.00"
"225913","2014.05       ","2","115.00"
"225913","2014.04       ","1","57.00"
"225913","2013.09       ","1","56.00"
"227613","2014.10       ","1","110.00"
"227613","--            ","",""
"222786","2014.07       ","1","14.00"
"222786","2013.11       ","1","2897.00"
"222786","2013.07       ","1","2956.00"
"222786","2013.02       ","1","2762.00"
"222786","2012.10       ","1","2017.00"
"222786","2012.09       ","1","2511.00"
"222786","2012.05       ","1","2346.00"
"222786","2012.03       ","1","1496.00"
"222786","2013.06       ","2","162.00"
"222786","2013.05       ","1","74.00"
"222786","2013.02       ","1","583.00"
"222786","2012.12       ","1","556.00"
"222786","2012.09       ","2","1118.00"
"222786","2012.08       ","1","563.00"
"222786","2012.04       ","2","114.00"
"222786","2012.03       ","1","41.00"
"222786","2014.05       ","1","218.00"
"222786","2013.12       ","1","259.00"
"222786","2013.02       ","1","104.00"
"222786","2012.12       ","1","1873.00"
"222786","2012.09       ","1","2124.00"
"222786","2012.08       ","1","1889.00"
"222786","2012.04       ","1","19.00"
"222786","2012.03       ","1","1712.00"
"222786","2014.02       ","1","100.00"
"222786","2013.11       ","1","100.00"
"222786","2013.09       ","1","100.00"
"222786","2013.07       ","1","115.00"
"222786","2013.05       ","1","127.00"
"222786","2013.02       ","1","221.00"
"222786","2012.09       ","1","263.00"
"222786","2012.04       ","1","340.00"
"222786","2014.01       ","1","1491.00"
"222786","2013.06       ","1","1442.00"
"222786","2012.09       ","1","1320.00"
"222786","2012.04       ","1","105.00"
"222786","2012.03       ","1","96.00"
"222786","--            ","",""
"222786","2013.07       ","1","709.00"
"222786","2012.09       ","1","694.00"
"222786","2015.08       ","2","549.00"
"222786","2015.07       ","1","319.00"
"222786","2015.05       ","1","340.00"
"222786","2014.12       ","1","606.00"
"222786","2014.10       ","1","676.00"
"222786","2014.08       ","1","756.00"
"222786","2013.09       ","1","290.00"
"222786","2013.08       ","1","988.00"
"222786","2012.09       ","1","1415.00"
"222786","2012.05       ","1","987.00"
"222786","2014.11       ","2","20398.00"
"222786","2014.10       ","1","21955.00"
"222786","2012.08       ","1","1475.00"
"222786","--            ","",""
"229365","2013.08       ","3","476.00"
"229365","2013.07       ","2","210.00"
"229365","2013.06       ","1","163.00"
"229365","2013.01       ","3","187.00"
"229365","2012.12       ","2","476.00"
"229365","2012.11       ","1","496.00"
"229365","2013.03       ","1","227.00"
"229365","2013.02       ","1","600.00"
"229365","2012.10       ","1","398.00"
"229365","2012.07       ","1","470.00"
"229365","2012.05       ","1","504.00"
"229365","2012.03       ","1","542.00"
"229365","2013.01       ","1","454.00"
"229365","2012.08       ","1","142.00"
"229365","2012.05       ","1","818.00"
"229365","2012.04       ","1","166.00"
"229365","2012.03       ","1","352.00"
"229365","--            ","",""
"229365","2013.03       ","1","880.00"
"229365","2013.01       ","1","798.00"
"229365","2012.09       ","1","70.00"
"229365","--            ","",""
"229438","2014.12       ","1","254.00"
"229438","2014.10       ","1","268.00"
"229438","2014.08       ","1","287.00"
"229438","2014.06       ","1","244.00"
"229438","2014.04       ","1","274.00"
"229438","2014.02       ","1","184.00"
"229438","2013.12       ","1","469.00"
"229438","2013.10       ","1","273.00"
"229438","2013.08       ","1","106.00"
"229438","2013.05       ","1","135.00"
"229438","2013.03       ","1","189.00"
"229438","2013.01       ","1","200.00"
"229438","2012.11       ","1","291.00"
"229438","2012.09       ","1","300.00"
"229438","2012.07       ","1","240.00"
"229438","2012.05       ","1","250.00"
"229438","2012.03       ","1","222.00"
"229438","--            ","",""
"229438","2014.08       ","1","831.00"
"229438","2014.05       ","1","978.00"
"229438","2014.02       ","1","990.00"
"229438","2014.01       ","1","887.00"
"229438","2013.10       ","1","1260.00"
"229438","2013.07       ","1","1368.00"
"229438","2013.03       ","1","843.00"
"229438","2013.01       ","1","1063.00"
"229438","2012.11       ","1","1202.00"
"229438","2012.10       ","1","1102.00"
"229438","2012.08       ","1","1021.00"
"229438","2012.03       ","1","82.00"
"212653","2013.10       ","2","1873.00"
"212653","2013.09       ","1","877.00"
"212653","2013.07       ","1","1228.00"
"212653","--            ","",""
"212653","2016.01       ","1","807.00"
"212653","2015.02       ","1","1164.00"
"212653","2014.05       ","1","15.00"
"212653","2013.07       ","1","11.00"
"212653","2012.12       ","1","889.00"
"212653","--            ","",""
"208266","2014.01       ","1","135.00"
"208266","2013.07       ","1","40.00"
"208266","2013.03       ","1","568.00"
"208266","2013.02       ","1","384.00"
"208266","2013.01       ","1","208.00"
"208266","2012.12       ","1","74.00"
"208266","2013.11       ","1","32.00"
"208266","--            ","",""
"217394","2014.12       ","2","3708.00"
"217394","2014.11       ","1","3598.00"
"217394","2014.12       ","1","3224.00"
"217394","2014.11       ","1","3177.00"
"217394","2014.12       ","2","8245.00"
"217394","2014.11       ","1","3894.00"
"217394","2014.11       ","1","3105.00"
"217394","--            ","",""
"217394","2014.10       ","1","549.00"
"217394","--            ","",""
"217394","2014.11       ","1","2945.00"
"217394","--            ","",""
"217394","2014.11       ","1","55.00"
"217394","--            ","",""
"217394","2014.11       ","1","723.00"
"217394","--            ","",""
"217394","2014.11       ","1","355.00"
"217394","--            ","",""
"217394","2014.10       ","1","6012.00"
"217394","--            ","",""
"217394","2015.01       ","3","19446.00"
"217394","2014.12       ","2","12968.00"
"217394","2014.11       ","1","7369.00"
"217394","2014.10       ","1","5399.00"
"217394","2015.01       ","2","9213.00"
"217394","2014.12       ","2","7370.00"
"217394","2014.11       ","1","2468.00"
"217394","--            ","",""
"217394","2015.01       ","3","13544.00"
"217394","2014.12       ","2","9322.00"
"217394","2014.11       ","1","4425.00"
"217394","--            ","",""
"208992","2014.07       ","1","355.00"
"208992","2014.05       ","1","3.00"
"208992","2014.02       ","1","29.00"
"208992","2013.11       ","1","264.00"
"208992","2013.09       ","1","363.00"
"208992","2013.07       ","1","476.00"
"208992","2013.05       ","1","353.00"
"208992","2013.03       ","1","387.00"
"208992","2012.12       ","1","417.00"
"208992","2012.10       ","1","461.00"
"208992","2012.09       ","1","387.00"
"208992","2012.08       ","2","841.00"
"208992","2012.07       ","1","385.00"
"208992","2012.05       ","1","193.00"
"208992","2012.03       ","1","15.00"
"208992","--            ","",""
"212314","2013.09       ","1","3524.00"
"212314","--            ","",""
"212314","2013.12       ","1","1696.00"
"212314","--            ","",""
"215505","2014.10       ","2","1815.00"
"215505","2014.09       ","1","813.00"
"215505","2014.07       ","1","5.00"
"215505","2014.03       ","2","1868.00"
"215505","2014.02       ","1","1023.00"
"215505","2014.01       ","2","1266.00"
"215505","2013.12       ","1","398.00"
"215505","--            ","",""
"209031","2013.08       ","1","483.00"
"209031","2013.05       ","1","992.00"
"216213","2013.07       ","2","24.00"
"216213","2013.06       ","1","14.00"
"216213","2013.04       ","1","43.00"
"216213","2013.01       ","2","219.00"
"216213","2012.12       ","1","99.00"
"216213","2012.06       ","1","211.00"
"209655","2012.02       ","1","4.00"
"209655","--            ","",""
"216294","2014.06       ","1","70.00"
"216294","2014.02       ","2","485.00"
"216294","2014.01       ","1","450.00"
"216294","2013.02       ","1","29.00"
"210824","2014.07       ","4","3473.00"
"210824","2014.06       ","3","2805.00"
"210824","2014.05       ","2","1715.00"
"210824","2014.04       ","1","802.00"
"210824","2014.01       ","3","6583.00"
"210824","2013.12       ","2","5456.00"
"210824","2013.11       ","1","1068.00"
"210824","2013.02       ","1","2275.00"
"210824","2012.09       ","1","1803.00"
"210824","2012.02       ","1","1195.00"
"210824","2014.06       ","2","911.00"
"210824","2014.05       ","1","446.00"
"210824","2012.07       ","1","233.00"
"210824","2012.02       ","1","339.00"
"210824","2012.08       ","2","828.00"
"210824","2012.07       ","1","369.00"
"210824","2012.05       ","1","142.00"
"210824","--            ","",""
"210824","2014.07       ","7","13506.00"
"210824","2014.06       ","7","12716.00"
"210824","2014.05       ","6","11969.00"
"210824","2014.04       ","5","11253.00"
"210824","2014.03       ","4","10583.00"
"210824","2014.02       ","3","9905.00"
"210824","2014.01       ","3","13536.00"
"210824","2013.12       ","2","10268.00"
"210824","2013.11       ","1","1943.00"
"210824","2013.02       ","1","629.00"
"210824","2012.12       ","1","23.00"
"210824","2012.07       ","1","856.00"
"210824","2012.06       ","1","1454.00"
"210824","2012.04       ","1","400.00"
"210824","2012.02       ","1","501.00"
"210824","--            ","",""
"210824","2014.08       ","1","128.00"
"210824","2014.07       ","3","465.00"
"210824","2014.06       ","2","306.00"
"210824","2014.05       ","1","151.00"
"210824","2013.11       ","1","152.00"
"210824","2013.03       ","2","308.00"
"210824","2013.02       ","1","152.00"
"210824","2012.06       ","1","148.00"
"210824","2012.04       ","1","147.00"
"210824","2012.02       ","1","149.00"
