"REPORT_ID","TYPE_DW","FINANCE_CORP_COUNT","FINANCE_ORG_COUNT","ACCOUNT_COUNT","CREDIT_LIMIT","MAX_CREDIT_LIMIT_PER_ORG","MIN_CREDIT_LIMIT_PER_ORG","BALANCE","USED_CREDIT_LIMIT","LATEST_6M_USED_AVG_AMOUNT"
"144528","未结清贷款信息汇总","1","1","1","2000.00","","","2000.00","","0.00"
"144528","未销户贷记卡信息汇总","2","2","2","10001.00","10000.00","1.00","","9.00","4.00"
"142657","未结清贷款信息汇总","6","6","6","213600.00","","","135900.00","","968.00"
"142657","未销户贷记卡信息汇总","2","2","2","29000.00","17000.00","12000.00","","22784.00","10124.00"
"142665","未结清贷款信息汇总","1","1","1","5000.00","","","5000.00","","0.00"
"142665","未销户贷记卡信息汇总","4","4","13","46000.00","25038.00","5000.00","","46009.00","45822.00"
"142853","未结清贷款信息汇总","1","1","1","20000.00","","","20000.00","","0.00"
"142853","未销户贷记卡信息汇总","7","7","8","182500.00","58500.00","2000.00","","142223.00","146362.00"
"138988","未结清贷款信息汇总","1","1","6","9490.00","","","4193.00","","785.00"
"138988","未销户贷记卡信息汇总","4","4","7","32201.00","20000.00","1.00","","30755.00","23383.00"
"147814","未结清贷款信息汇总","2","2","4","9463.00","","","7064.00","","430.00"
"147814","未销户贷记卡信息汇总","6","6","10","70500.00","18000.00","5000.00","","47767.00","33754.00"
"146533","未结清贷款信息汇总","2","2","2","204900.00","","","203756.00","","336.00"
"146533","未销户贷记卡信息汇总","2","2","10","27500.00","23929.00","10000.00","","21872.00","10341.00"
"147496","未结清贷款信息汇总","5","5","5","43100.00","","","32913.00","","5159.00"
"147496","未销户贷记卡信息汇总","4","4","8","55000.00","25000.00","9000.00","","52938.00","48253.00"
"151150","未销户贷记卡信息汇总","1","1","1","4000.00","4000.00","4000.00","","3042.00","0.00"
"151640","未结清贷款信息汇总","3","3","3","11280.00","","","10848.00","","179.00"
"151640","未销户贷记卡信息汇总","9","9","14","115000.00","30000.00","2000.00","","126719.00","115143.00"
"151640","未销户准贷记卡信息汇总","1","2","3","6904.00","6904.00","6000.00","","5970.00","3978.00"
"159514","未销户贷记卡信息汇总","3","3","4","35000.00","20000.00","6000.00","","0.00","0.00"
"161233","未结清贷款信息汇总","2","2","2","5520.00","","","5520.00","","0.00"
"161233","未销户贷记卡信息汇总","6","6","9","43000.00","10333.00","4000.00","","42791.00","39826.00"
"161022","未销户贷记卡信息汇总","2","2","3","10000.00","8000.00","2000.00","","7347.00","5114.00"
"160363","未结清贷款信息汇总","3","3","3","63840.00","","","53490.00","","1355.00"
"160363","未销户贷记卡信息汇总","3","3","3","47000.00","20000.00","10000.00","","14689.00","12270.00"
"168790","未销户贷记卡信息汇总","5","5","7","53000.00","16000.00","5000.00","","19688.00","18589.00"
"169084","未结清贷款信息汇总","5","5","9","289980.00","","","239058.00","","4057.00"
"169084","未销户贷记卡信息汇总","6","6","9","51500.00","15000.00","3000.00","","46088.00","37437.00"
"169084","未销户准贷记卡信息汇总","1","1","1","7500.00","7500.00","7500.00","","31.00","3538.00"
"167428","未销户贷记卡信息汇总","1","1","1","77167.00","77167.00","77167.00","","71087.00","33607.00"
"163711","未结清贷款信息汇总","3","3","3","17150.00","","","16957.00","","21287.00"
"163711","未销户贷记卡信息汇总","1","1","1","500.00","500.00","500.00","","0.00","0.00"
"163719","未销户贷记卡信息汇总","1","1","1","6000.00","6000.00","6000.00","","5908.00","5878.00"
"165469","未销户贷记卡信息汇总","6","6","7","90000.00","53186.00","2000.00","","2305.00","5548.00"
"165576","未结清贷款信息汇总","5","5","5","29300.00","","","27514.00","","939.00"
"165576","未销户贷记卡信息汇总","2","2","4","19000.00","10000.00","9000.00","","17984.00","18886.00"
"174368","未结清贷款信息汇总","5","5","8","56996.00","","","33895.00","","5756.00"
"174368","未销户贷记卡信息汇总","6","6","10","84500.00","20000.00","4500.00","","59687.00","58803.00"
"173752","未销户贷记卡信息汇总","1","1","1","7000.00","7000.00","7000.00","","7079.00","7291.00"
"171359","未结清贷款信息汇总","6","6","6","72665.00","","","52886.00","","2505.00"
"170491","未结清贷款信息汇总","1","1","1","5000.00","","","5000.00","","0.00"
"170491","未销户贷记卡信息汇总","3","3","6","9000.00","4000.00","3000.00","","6132.00","6915.00"
"171359","未销户贷记卡信息汇总","8","8","16","167400.00","100000.00","2000.00","","144061.00","143299.00"
"176385","未销户贷记卡信息汇总","4","4","5","26200.00","10306.00","200.00","","20608.00","16423.00"
"180117","未结清贷款信息汇总","1","1","2","500.00","","","334.00","","29.00"
"180117","未销户贷记卡信息汇总","2","2","4","2000.00","2000.00","0.00","","148.00","379.00"
"182242","未结清贷款信息汇总","4","4","6","27400.00","","","10091.00","","3512.00"
"182242","未销户贷记卡信息汇总","8","8","12","198000.00","48000.00","10000.00","","93704.00","112466.00"
"182405","未结清贷款信息汇总","1","1","1","290000.00","","","155014.00","","3328.00"
"182405","未销户贷记卡信息汇总","4","4","6","107649.00","57649.00","2000.00","","9035.00","7986.00"
"182405","未销户准贷记卡信息汇总","2","2","4","0.00","57649.00","5000.00","","60.00","858.00"
"182616","未结清贷款信息汇总","4","4","6","123500.00","","","97384.00","","2806.00"
"182616","未销户贷记卡信息汇总","2","2","4","25000.00","20000.00","5235.00","","2394.00","15108.00"
"181200","未结清贷款信息汇总","2","2","9","8218.00","","","5933.00","","509.00"
"181200","未销户贷记卡信息汇总","3","3","4","32000.00","25000.00","2000.00","","23948.00","21432.00"
"181973","未销户贷记卡信息汇总","3","3","4","13000.00","5000.00","3000.00","","10023.00","9461.00"
"181973","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"183519","未结清贷款信息汇总","2","2","2","8200.00","","","8200.00","","772.00"
"183519","未销户贷记卡信息汇总","1","1","2","15000.00","15000.00","15000.00","","2331.00","6041.00"
"183563","未销户贷记卡信息汇总","3","3","4","32000.00","23000.00","4000.00","","22984.00","19492.00"
"183728","未销户贷记卡信息汇总","3","3","6","48430.00","25000.00","3430.00","","49632.00","48975.00"
"183728","未销户准贷记卡信息汇总","1","1","3","23059.00","23059.00","23059.00","","7342.00","26754.00"
"186107","未结清贷款信息汇总","2","2","2","6600.00","","","6600.00","","0.00"
"186107","未销户贷记卡信息汇总","2","2","3","13000.00","10000.00","3000.00","","11668.00","8412.00"
"184536","未销户贷记卡信息汇总","1","1","1","5000.00","5000.00","5000.00","","24.00","723.00"
"185346","未结清贷款信息汇总","4","4","4","17500.00","","","14000.00","","58.00"
"185346","未销户贷记卡信息汇总","3","3","4","19001.00","19000.00","0.00","","12732.00","2782.00"
"185346","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"185363","未销户贷记卡信息汇总","3","3","4","30000.00","15000.00","5000.00","","991.00","9123.00"
"185630","未销户贷记卡信息汇总","2","2","3","10500.00","10000.00","500.00","","1688.00","558.00"
"185780","未结清贷款信息汇总","3","3","3","19500.00","","","18917.00","","3018.00"
"185780","未销户贷记卡信息汇总","5","5","9","76380.00","30000.00","3000.00","","68791.00","72775.00"
"184329","未结清贷款信息汇总","1","1","1","80000.00","","","80000.00","","85.00"
"184329","未销户贷记卡信息汇总","3","3","6","60600.00","35600.00","5000.00","","46346.00","40135.00"
"184385","未结清贷款信息汇总","6","6","10","172100.00","","","132779.00","","4229.00"
"184385","未销户贷记卡信息汇总","7","7","11","310500.00","75000.00","10000.00","","105728.00","160699.00"
"185146","未结清贷款信息汇总","2","2","2","8500.00","","","5813.00","","576.00"
"185146","未销户贷记卡信息汇总","7","7","8","54000.00","21000.00","500.00","","45213.00","49058.00"
"184410","未结清贷款信息汇总","1","1","1","1500.00","","","1268.00","","93.00"
"184410","未销户贷记卡信息汇总","4","4","9","66000.00","6000.00","5000.00","","22091.00","23416.00"
"191695","未结清贷款信息汇总","5","5","7","20500.00","","","11756.00","","3251.00"
"191695","未销户贷记卡信息汇总","6","6","9","67833.00","15000.00","3333.00","","68511.00","61096.00"
"193398","未结清贷款信息汇总","3","3","4","20978.00","","","11168.00","","1379.00"
"193398","未销户贷记卡信息汇总","4","4","12","22000.00","13000.00","1058.00","","24982.00","25588.00"
"193458","未销户贷记卡信息汇总","3","3","5","24000.00","11000.00","2000.00","","20874.00","15918.00"
"192728","未结清贷款信息汇总","2","2","2","109000.00","","","50000.00","","0.00"
"192728","未销户贷记卡信息汇总","6","6","6","110249.00","44249.00","5000.00","","46992.00","26390.00"
"190603","未销户贷记卡信息汇总","5","5","9","43300.00","20000.00","2000.00","","20539.00","13097.00"
"192198","未结清贷款信息汇总","1","1","2","14300.00","","","10108.00","","716.00"
"192198","未销户贷记卡信息汇总","1","1","2","41000.00","41000.00","41000.00","","4099.00","2999.00"
"190373","未结清贷款信息汇总","4","4","6","17650.00","","","9745.00","","1129.00"
"190373","未销户贷记卡信息汇总","3","3","5","53000.00","35000.00","5000.00","","33661.00","40258.00"
"188734","未结清贷款信息汇总","4","4","4","234700.00","","","229920.00","","2919.00"
"188734","未销户贷记卡信息汇总","10","11","13","234000.00","60000.00","0.00","","167485.00","154492.00"
"188968","未结清贷款信息汇总","1","1","1","9700.00","","","8978.00","","504.00"
"188968","未销户贷记卡信息汇总","1","1","1","15000.00","15000.00","15000.00","","7000.00","3500.00"
"188155","未销户贷记卡信息汇总","8","8","17","110000.00","40000.00","3000.00","","37325.00","30204.00"
"188201","未销户贷记卡信息汇总","1","1","1","59000.00","34000.00","34000.00","","15473.00","11047.00"
"188201","未销户准贷记卡信息汇总","1","1","1","20000.00","20000.00","20000.00","","2817.00","6620.00"
"188238","未结清贷款信息汇总","1","1","1","2000.00","","","1700.00","","128.00"
"188238","未销户贷记卡信息汇总","5","5","10","36500.00","10000.00","4770.00","","31822.00","33361.00"
"199361","未结清贷款信息汇总","1","1","1","25000.00","","","12500.00","","1508.00"
"199361","未销户贷记卡信息汇总","13","13","23","382477.00","59000.00","1250.00","","160838.00","157988.00"
"199361","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"198606","未结清贷款信息汇总","1","1","1","168.00","","","168.00","","0.00"
"198606","未销户贷记卡信息汇总","3","3","4","35500.00","29000.00","500.00","","26648.00","18158.00"
"199493","未结清贷款信息汇总","3","3","3","19534.00","","","14320.00","","752.00"
"199493","未销户贷记卡信息汇总","2","2","3","27500.00","25000.00","2500.00","","3558.00","4052.00"
"198671","未结清贷款信息汇总","4","4","4","258600.00","","","248451.00","","2518.00"
"198671","未销户贷记卡信息汇总","3","3","4","52833.00","25833.00","3800.00","","21409.00","23516.00"
"198773","未结清贷款信息汇总","1","1","3","21000.00","","","11161.00","","2488.00"
"198773","未销户贷记卡信息汇总","2","3","9","48000.00","30000.00","11500.00","","57802.00","54179.00"
"198773","未销户准贷记卡信息汇总","2","2","4","14000.00","10000.00","4000.00","","10139.00","9988.00"
"196730","未结清贷款信息汇总","1","1","1","8000.00","","","6400.00","","611.00"
"196730","未销户贷记卡信息汇总","3","3","12","22001.00","11000.00","1174.00","","21783.00","13924.00"
"198252","未结清贷款信息汇总","1","1","1","9000.00","","","0.00","","241.00"
"198252","未销户贷记卡信息汇总","8","8","16","95000.00","34000.00","2000.00","","55242.00","61004.00"
"196813","未结清贷款信息汇总","2","2","2","57000.00","","","44525.00","","2101.00"
"196813","未销户贷记卡信息汇总","5","5","6","68000.00","19000.00","10000.00","","65790.00","63695.00"
"198300","未销户贷记卡信息汇总","6","6","10","99378.00","27888.00","3000.00","","41882.00","32553.00"
"197722","未销户贷记卡信息汇总","1","1","1","50000.00","50000.00","50000.00","","11051.00","4066.00"
"198428","未销户贷记卡信息汇总","4","4","5","86200.00","70000.00","1688.00","","83559.00","89696.00"
"195604","未结清贷款信息汇总","1","1","1","5000.00","","","4500.00","","213.00"
"195604","未销户贷记卡信息汇总","5","5","7","62591.00","19861.00","5730.00","","51039.00","42795.00"
"196445","未销户贷记卡信息汇总","1","1","1","11000.00","11000.00","11000.00","","0.00","0.00"
"195721","未结清贷款信息汇总","1","1","2","13005.00","","","9962.00","","858.00"
"195721","未销户贷记卡信息汇总","2","2","3","17000.00","18000.00","8000.00","","0.00","0.00"
"194955","未结清贷款信息汇总","4","4","7","40620.00","","","12227.00","","3909.00"
"194955","未销户贷记卡信息汇总","8","8","15","86500.00","20000.00","5000.00","","69630.00","53945.00"
"195783","未结清贷款信息汇总","1","1","1","130000.00","","","130000.00","","0.00"
"195783","未销户贷记卡信息汇总","2","2","3","61000.00","48000.00","13000.00","","29794.00","22780.00"
"195830","未销户贷记卡信息汇总","5","5","6","60000.00","16000.00","10000.00","","59884.00","61580.00"
"195830","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"193620","未销户贷记卡信息汇总","2","2","4","33000.00","28000.00","5000.00","","13729.00","7965.00"
"193623","未销户贷记卡信息汇总","3","3","4","55100.00","25000.00","15000.00","","30732.00","38694.00"
"196014","未销户贷记卡信息汇总","1","1","2","6000.00","6000.00","6000.00","","147.00","658.00"
"195391","未结清贷款信息汇总","1","1","1","150000.00","","","143228.00","","2432.00"
"195391","未销户贷记卡信息汇总","3","3","3","40000.00","20000.00","5000.00","","19472.00","16994.00"
"195391","未销户准贷记卡信息汇总","1","1","1","1.00","1.00","1.00","","0.00","0.00"
"202809","未结清贷款信息汇总","1","1","1","1259.00","","","1084.00","","65.00"
"202809","未销户贷记卡信息汇总","2","2","2","30000.00","20000.00","10000.00","","29974.00","29931.00"
"202874","未结清贷款信息汇总","4","4","5","24093.00","","","22293.00","","739.00"
"202874","未销户贷记卡信息汇总","5","5","6","41000.00","24000.00","2000.00","","23584.00","18881.00"
"200751","未销户贷记卡信息汇总","6","6","15","89300.00","50000.00","0.00","","60805.00","64815.00"
"202295","未销户贷记卡信息汇总","6","6","8","152000.00","54000.00","8000.00","","89763.00","104793.00"
"199903","未结清贷款信息汇总","2","2","2","23600.00","","","15500.00","","1328.00"
"199903","未销户贷记卡信息汇总","5","5","5","39500.00","17000.00","2000.00","","38030.00","36358.00"
"200200","未销户贷记卡信息汇总","2","2","3","12000.00","6000.00","6000.00","","6372.00","4041.00"
"202572","未销户贷记卡信息汇总","2","2","4","25000.00","17000.00","8000.00","","23959.00","23395.00"
"202641","未结清贷款信息汇总","6","6","7","271100.00","","","265234.00","","4930.00"
"202641","未销户贷记卡信息汇总","4","4","6","16000.00","7000.00","2000.00","","8253.00","6699.00"
"204463","未结清贷款信息汇总","4","4","4","11000.00","","","5000.00","","864.00"
"204463","未销户贷记卡信息汇总","4","4","5","23000.00","15000.00","0.00","","20150.00","19281.00"
"205151","未结清贷款信息汇总","2","2","2","83800.00","","","83800.00","","0.00"
"205151","未销户贷记卡信息汇总","4","4","4","37000.00","15000.00","3000.00","","36898.00","36611.00"
"203629","未结清贷款信息汇总","3","3","4","13588.00","","","8871.00","","1124.00"
"203629","未销户贷记卡信息汇总","1","1","2","9000.00","9000.00","9000.00","","6258.00","4536.00"
"205255","未结清贷款信息汇总","5","5","9","238600.00","","","202119.00","","8579.00"
"205255","未销户贷记卡信息汇总","8","8","15","385500.00","106500.00","10439.00","","331300.00","317344.00"
"205439","未结清贷款信息汇总","4","4","6","18837.00","","","11850.00","","924.00"
"205439","未销户贷记卡信息汇总","6","6","10","92600.00","50000.00","2000.00","","52485.00","54740.00"
"203831","未销户贷记卡信息汇总","1","1","1","5000.00","5000.00","5000.00","","949.00","3187.00"
"205513","未结清贷款信息汇总","1","1","1","3910.00","","","3910.00","","0.00"
"205513","未销户贷记卡信息汇总","3","3","6","103000.00","62000.00","20000.00","","86757.00","43655.00"
"203183","未结清贷款信息汇总","1","1","2","36980.00","","","35630.00","","220.00"
"203183","未销户贷记卡信息汇总","4","4","5","61667.00","15000.00","7000.00","","16013.00","16423.00"
"199708","未结清贷款信息汇总","1","1","1","10000.00","","","5833.00","","694.00"
"199708","未销户贷记卡信息汇总","3","3","5","36294.00","17294.00","9000.00","","29324.00","30059.00"
"199708","未销户准贷记卡信息汇总","1","1","1","0.00","10000.00","10000.00","","9626.00","8214.00"
"204824","未结清贷款信息汇总","3","3","5","7300.00","","","1617.00","","563.00"
"204824","未销户贷记卡信息汇总","3","3","5","40766.00","18000.00","6000.00","","17795.00","12563.00"
"204913","未结清贷款信息汇总","4","4","13","32100.00","","","32100.00","","111.00"
"204913","未销户贷记卡信息汇总","4","4","4","36001.00","19000.00","1.00","","34567.00","33340.00"
"204958","未结清贷款信息汇总","3","3","7","50990.00","","","16981.00","","4008.00"
"204958","未销户贷记卡信息汇总","3","3","4","31000.00","13000.00","7000.00","","31906.00","30521.00"
"204373","未结清贷款信息汇总","2","2","5","14869.00","","","4513.00","","365.00"
"204373","未销户贷记卡信息汇总","4","4","7","57000.00","26463.00","4000.00","","9846.00","10858.00"
"209250","未结清贷款信息汇总","4","5","5","19600.00","","","18883.00","","733.00"
"209250","未销户贷记卡信息汇总","2","2","2","1300.00","1000.00","300.00","","0.00","0.00"
"206916","未结清贷款信息汇总","4","4","5","41800.00","","","35400.00","","2449.00"
"206916","未销户贷记卡信息汇总","5","5","8","79000.00","32000.00","2000.00","","43351.00","45826.00"
"207863","未结清贷款信息汇总","2","2","2","22000.00","","","22000.00","","289.00"
"207863","未销户贷记卡信息汇总","7","7","10","152301.00","58000.00","1.00","","124874.00","109425.00"
"207863","未销户准贷记卡信息汇总","1","1","2","3452.00","3452.00","3452.00","","0.00","0.00"
"207873","未结清贷款信息汇总","1","1","1","2700.00","","","2127.00","","139.00"
"207873","未销户贷记卡信息汇总","4","4","12","74200.00","30000.00","5000.00","","66763.00","48739.00"
"207873","未销户准贷记卡信息汇总","2","2","2","7500.00","7500.00","5000.00","","7488.00","7071.00"
"206364","未销户贷记卡信息汇总","1","1","1","11000.00","11000.00","11000.00","","3213.00","2203.00"
"208992","未结清贷款信息汇总","1","1","2","7316.00","","","6300.00","","374.00"
"208992","未销户贷记卡信息汇总","9","9","13","80050.00","20000.00","50.00","","32856.00","46710.00"
"207337","未结清贷款信息汇总","3","3","6","14085.00","","","13100.00","","516.00"
"207337","未销户贷记卡信息汇总","2","2","3","20000.00","10000.00","10000.00","","4739.00","6015.00"
"209031","未结清贷款信息汇总","4","4","5","263000.00","","","213000.00","","1030.00"
"209031","未销户贷记卡信息汇总","4","4","5","23000.00","10000.00","3000.00","","19819.00","20261.00"
"208266","未结清贷款信息汇总","2","2","2","301029.00","","","283313.00","","1705.00"
"208266","未销户贷记卡信息汇总","3","3","3","43000.00","20000.00","6000.00","","30276.00","31736.00"
"206687","未结清贷款信息汇总","2","2","2","13500.00","","","11800.00","","649.00"
"206687","未销户贷记卡信息汇总","1","1","1","9000.00","9000.00","9000.00","","0.00","0.00"
"207548","未销户贷记卡信息汇总","3","3","4","62000.00","40000.00","2000.00","","12655.00","13281.00"
"212214","未销户贷记卡信息汇总","2","2","4","10000.00","5000.00","5000.00","","8943.00","10936.00"
"212314","未结清贷款信息汇总","4","4","5","23983.00","","","23201.00","","467.00"
"212314","未销户贷记卡信息汇总","7","7","17","451000.00","100000.00","20000.00","","333797.00","365072.00"
"212314","未销户准贷记卡信息汇总","1","1","5","0.00","30000.00","30000.00","","4529.00","14333.00"
"212653","未结清贷款信息汇总","3","3","4","21135.00","","","16133.00","","989.00"
"212653","未销户贷记卡信息汇总","3","3","3","40000.00","20000.00","10000.00","","29680.00","29622.00"
"211650","未销户贷记卡信息汇总","6","6","12","149683.00","41083.00","600.00","","82786.00","68284.00"
"210824","未结清贷款信息汇总","1","1","1","5800.00","","","0.00","","172.00"
"210824","未销户贷记卡信息汇总","5","5","9","9500.00","5000.00","0.00","","7480.00","8019.00"
"210177","未结清贷款信息汇总","4","4","7","291200.00","","","282767.00","","2130.00"
"210177","未销户贷记卡信息汇总","4","4","4","26500.00","10000.00","5000.00","","27105.00","27587.00"
"210933","未结清贷款信息汇总","2","2","2","388000.00","","","363336.00","","2035.00"
"210933","未销户贷记卡信息汇总","4","4","5","22001.00","10000.00","0.00","","0.00","2749.00"
"209467","未结清贷款信息汇总","6","6","9","135800.00","","","98657.00","","13166.00"
"209467","未销户贷记卡信息汇总","8","8","26","259700.00","83040.00","2114.00","","209078.00","192746.00"
"209467","未销户准贷记卡信息汇总","1","1","5","80000.00","80000.00","80000.00","","22064.00","49713.00"
"209655","未结清贷款信息汇总","3","3","3","105200.00","","","105067.00","","495.00"
"209655","未销户贷记卡信息汇总","1","1","2","7000.00","7000.00","7000.00","","2900.00","842.00"
"209655","未销户准贷记卡信息汇总","1","1","1","0.00","0.00","0.00","","0.00","0.00"
"210496","未结清贷款信息汇总","2","2","2","54500.00","","","53150.00","","285.00"
"210496","未销户贷记卡信息汇总","4","4","5","21500.00","10000.00","500.00","","13794.00","14255.00"
"211275","未结清贷款信息汇总","1","1","1","5000.00","","","5000.00","","0.00"
"211275","未销户贷记卡信息汇总","2","2","2","16000.00","10000.00","6000.00","","15976.00","7761.00"
